Ruolo,Squadra,Nome,Kap.,8 sq. / 350,10 sq. / 350,8 sq. / 500,10 sq. / 500,M.V.,Pres.
A,Parma,ALMQVISTPontus2025/2026,7,,1.11,,,"5,94",9
C,Bologna,AMONDARAINMikel JesusNuovo,7,,,,,,
D,Roma,BALERDILeonardo Julián RossaNuovo,7,,,,,,
C,Milan,BONDOWarren2025/2026,7,,12.66,,15.90,"5,85",27
C,Fiorentina,BRESCIANINIMarco,7,,,,3.35,"5,97",18
C,Frosinone,CICHELLAMatteoNuovo,7,,,,,,
D,Milan,DE WINTERKoni,7,4.49,5.38,3.20,4.86,"5,75",24
C,Juventus,DOUGLAS LUIZ-,7,3.33,6.44,5.61,6.99,,
A,Juventus,EKHATORJeff,7,,1.30,,,"5,96",25
C,Estero,EL AYNAOUINeil2025/2026,7,15.78,19.67,14.34,18.08,"5,97",21
C,Cagliari,FADERAAlieu2025/2026,7,,18.43,,6.98,"5,91",24
C,Monza,FOLORUNSHOMichael,7,,,2.93,,"6,03",26
D,Lecce,GASPARKialonda,7,1.23,2.52,0.99,4.44,"5,83",21
C,Napoli,GILMOURBilly2025/2026,7,,10.83,,5.30,"6,07",13
A,Udinese,GUEYEIdrissa,7,,3.03,,9.62,"5,75",12
D,Como,KAIKIBruno Da Silva,7,3.99,4.52,4.94,5.61,,
D,Atalanta,KOLASINACSead,7,,2.38,1.66,6.62,"6,02",17
D,Atalanta,KOSSOUNOUOdilon,7,3.46,3.77,3.00,6.66,"5,93",16
A,Estero,KUHNNicolas2025/2026,7,18.91,18.97,,20.58,"5,96",14
A,Napoli,LANGNoa,7,0.96,3.14,,3.34,"6,03",14
C,Genoa,MESSIASJunior2025/2026,7,,23.75,21.96,25.03,"6,18",19
P,Napoli,MILINKOVICVanja,7,6.26,6.67,2.52,7.29,"6,20",27
C,Udinese,MILLERLennon2025/2026,7,,13.93,,5.83,"5,92",19
C,Estero,MIRETTIFabio2025/2026,7,13.05,16.04,16.73,17.86,"5,96",15
A,Lecce,MONTEIROJoel AlmadaNuovo,7,,,,,,
A,Estero,MUTANDWAKingstoneNuovo,7,,,,,,
C,Lecce,NGOMOumar2025/2026,7,,,,,"5,69",13
A,Monza,NGONGECyril,7,,3.26,,1.01,"5,82",17
D,Sassuolo,ODENTHALCas2025/2026,7,,,,,,
P,Frosinone,PALMISANILorenzo,7,3.23,3.43,2.93,3.96,,
C,Fiorentina,PARISIFabiano2025/2026,7,13.89,14.44,13.07,14.55,"6,02",23
D,Fiorentina,PONGRACICMarin,7,,,1.74,6.00,"5,84",35
C,Estero,PRATIMatteo2025/2026,7,,14.80,,14.84,"5,87",32
D,Fiorentina,RANIERILuca,7,1.95,2.03,,,"5,85",31
C,Como,RICCISamuele,7,,,,4.46,"6,00",28
P,Como,SANCHEZRobert Lync,7,1.44,3.54,1.21,7.61,,
D,Como,SMOLCICIvan,7,1.87,1.87,,,"5,96",25
C,Estero,SORENSENOliver2025/2026,7,,18.09,,7.95,"5,85",30
A,Fiorentina,SOTTILRiccardo2025/2026,7,13.67,16.88,14.08,17.97,"6,02",21
C,Sassuolo,SULEMANAIbrahim2025/2026,7,,1.17,4.82,3.97,"5,69",18
D,Parma,VALENTILautaro,7,,,,5.30,"5,96",27
D,Bologna,VITIKMartin2025/2026,7,11.95,14.31,10.15,14.57,"5,94",18
C,Serie Minori,ZAPPAGabriele2025/2026,7,15.79,16.88,12.90,16.62,"5,90",25
D,Cagliari,ZE PEDROda Silva Figueiredo Freitas,7,,1.89,,2.79,"5,77",22
A,Estero,ALVAREZAgustin2025/2026,6,,,,,,
C,Estero,ASLLANIKristjan2025/2026,6,,,,1.06,"5,57",14
A,Monza,BALDEKeitaNuovo,6,,,,,,
D,Udinese,BERTOLANicolo,6,1.19,,,,"5,86",25
C,Monza,BIRINDELLISamuele,6,1.73,2.19,3.45,2.20,,
D,Parma,BRITSCHGISascha2025/2026,6,,1.98,1.02,7.31,"5,75",28
D,Sassuolo,CALETA-CARDujeNuovo,6,,,,,,
D,Frosinone,CALVANIGabriele,6,2.21,2.19,2.02,2.00,,
D,Monza,CARBONIAndrea,6,,,4.54,,,
A,Milan,CISSEAlphadjo,6,8.77,9.84,10.07,11.54,,
C,Monza,CIURRIAPatrickNuovo,6,,,,,,
C,Monza,COLOMBOLeonardoNuovo,6,,,,,,
D,Torino,COMERTEray ErvinNuovo,6,,,,,,
D,Serie Minori,DELLI CARRIFilippoNuovo,6,,,,,,
C,Genoa,EHIZIBUEKingsley2025/2026,6,17.66,20.26,15.27,,"5,82",26
A,Parma,ELPHEGENesta,6,,1.50,,3.50,"6,00",8
A,Frosinone,FINISeydou2025/2026,6,,,,,,
C,Torino,FORTININiccolo,6,,1.70,,,"5,95",12
C,Cagliari,GAGLIARDINIRoberto2025/2026,6,,17.73,,,"5,91",28
D,Juventus,GATTIFederico2025/2026,6,18.66,22.65,15.41,19.78,"5,93",16
C,Frosinone,GELLIFrancescoNuovo,6,,,,,,
D,Venezia,HAINAUTAntoine,6,2.71,2.56,3.89,3.12,,
C,Venezia,HAPSRidgeciano,6,1.07,1.23,,2.41,,
D,Venezia,JESUSJuan,6,,1.94,,,"5,85",21
C,Fiorentina,JOAO MARIONeto Lopes,6,2.10,2.20,1.74,4.03,"5,78",14
A,Udinese,JOVANOVICLazarNuovo,6,,,,,,
D,Cagliari,KOFLERRaphaelNuovo,6,,,,,,
C,Udinese,LOVRICSandi2025/2026,6,11.36,13.83,12.49,14.77,"5,75",10
C,Lecce,MALEHYoussef2025/2026,6,,,,,"5,69",21
C,Frosinone,MASINIPatrizio2025/2026,6,,10.28,,14.13,"5,97",21
C,Como,MAZZITELLILuca2025/2026,6,15.25,15.86,,6.87,"6,07",14
D,Venezia,MORENOMatíasNuovo,6,,,,,,
C,Milan,MUSAHYunus,6,,,,3.94,"5,93",16
A,Lecce,N’DRIKonan,6,,1.76,,1.06,"5,82",17
C,Parma,ORDONEZChristian2025/2026,6,,,,,"5,78",21
A,Serie Minori,PETAGNAAndreaNuovo,6,,,,,,
D,Lazio,PROVSTGAARDOliver,6,,1.28,1.55,4.21,"5,91",23
D,Cagliari,RODRIGUEZJuan,6,,1.07,2.80,5.88,"5,62",16
C,Torino,RODRIGUEZRicardoNuovo,6,,,,,,
D,Lecce,SIEBERTJamil,6,,,,6.49,"5,68",19
C,Inter,STANKOVICAleksandar,6,2.98,2.78,1.21,,,
D,Frosinone,TCHATOEnzo MbiayiNuovo,6,,,,,,
C,Milan,TERRACCIANOFilippo2025/2026,6,13.20,14.17,11.47,14.60,"5,85",35
C,Genoa,VENTURINOLorenzo2025/2026,6,,8.77,,0.53,"5,85",7
A,Torino,ABOUKHLALZakaria2025/2026,5,,1.26,,0.50,"5,77",11
C,Udinese,ARIZALAJuan2025/2026,5,,,,,"5,80",5
D,Estero,ATHEKAMEZachary2025/2026,5,15.76,19.67,,6.57,"5,94",17
C,Estero,BENNACERIsmael2025/2026,5,,,,,,
A,Estero,BUKSAAdam2025/2026,5,,,,16.96,"5,88",21
D,Sassuolo,CANDEFali2025/2026,5,,2.23,,0.53,"5,68",8
D,Frosinone,CITTADINIGiorgioNuovo,5,,,,,,
C,Milan,COMOTTOChristian2025/2026,5,,,,,,
C,Cagliari,DEIOLAAlessandro2025/2026,5,,,,,"5,97",20
D,Como,DOSSENAAlberto2025/2026,5,4.31,5.13,,2.38,"5,81",11
C,Genoa,DRAMEHCodyNuovo,5,,,,,,
C,Venezia,DUNCANAlfredNuovo,5,,,,,,
D,Udinese,EBOSSEEnzo2025/2026,5,,0.90,,,"5,75",16
D,Milan,ESTUPINANPervis,5,1.15,1.37,,1.89,"5,64",14
A,Lecce,FATAHAmar AbdirahmanNuovo,5,,,,,,
A,Venezia,FERNANDEZAntonio Casino,5,,0.76,,,,
C,Lazio,FLORIANI MUSSOLINIRomano,5,2.03,2.60,1.82,2.48,"5,71",23
C,Lecce,GORTEROlaf,5,,,2.49,,"5,50",1
D,Venezia,HALHALRedouaneNuovo,5,,,,,,
C,Frosinone,HASALuis2025/2026,5,,,,,,
C,Venezia,HELGASONThorir2025/2026,5,,,,,"5,62",4
D,Bologna,HELLANDEivind,5,,1.58,2.66,2.47,"5,50",6
D,Como,KAMBWALAWillyNuovo,5,,,,,,
A,Bologna,KARLSSONJesper2025/2026,5,,,,,,
D,Lazio,LAZZARIManuel2025/2026,5,2.32,3.56,5.88,6.36,"5,81",16
C,Sassuolo,LIPANILuca2025/2026,5,,11.94,,5.83,"5,92",21
A,Parma,LONTANISimone,5,3.14,3.76,3.94,4.40,,
D,Monza,LUCCHESILorenzoNuovo,5,,,,,,
A,Cagliari,MENDYPaul,5,2.88,3.21,3.25,3.90,"6,00",5
D,Genoa,MITAJMarioNuovo,5,,,,,,
P,Lazio,MOTTAEdoardo,5,2.57,2.54,1.27,2.69,"6,00",9
P,Torino,PALEARIAlberto,5,1.05,,1.93,3.53,"6,08",29
D,Lazio,PELLEGRINILuca2025/2026,5,6.93,5.98,6.64,6.11,"5,85",24
D,Estero,POSCHStefan2025/2026,5,,,,,"6,06",8
C,Roma,SALAH-EDDINEAnass2025/2026,5,,,,,,
D,Venezia,SCHINGTIENNEJoëlNuovo,5,,,,,,
D,Frosinone,TERZICAleksaNuovo,5,,,,,,
P,Monza,THIAMDemba,5,1.19,,,3.56,,
A,Parma,TOUREEl Bilal,5,6.30,6.69,3.96,10.43,,
D,Parma,TROILOMariano,5,2.00,2.00,2.82,3.77,"5,78",21
A,Estero,VAZRobinio2025/2026,5,13.90,16.99,11.98,18.48,"5,92",7
C,Udinese,ZANOLIAlessandro,5,1.08,,,,"6,05",19
C,Estero,ZEMURAJordan2025/2026,5,1.61,1.80,,2.12,"5,86",15
D,Bologna,ALHASSANEAbdel Rahim BonkanoNuovo,4,,,,,,
C,Estero,ANGELINOJose2025/2026,4,13.22,14.66,18.34,22.47,"5,83",6
C,Torino,ANJORINTino2025/2026,4,,0.90,,5.30,"5,77",9
C,Cagliari,AURELIOGiuseppeNuovo,4,,,,,,
D,Estero,BALOGHBotond2025/2026,4,,,,,,
C,Lazio,BELAHYANEReda2025/2026,4,,1.17,,,"5,77",11
C,Torino,BIRAGHICristiano2025/2026,4,3.93,6.69,6.24,5.00,"5,59",11
C,Sassuolo,BOLOCADaniel2025/2026,4,,2.53,,0.53,"5,75",2
C,Juventus,CABALJuan2025/2026,4,4.80,4.32,,1.58,"5,94",9
D,Bologna,CASALENicolò2025/2026,4,2.17,3.80,,4.77,"5,65",10
C,Udinese,CHAKVETADZEGiorgiNuovo,4,,,,,,
P,Parma,DAFFARAGiovanni,4,1.16,1.20,0.46,2.06,,
A,Genoa,DE SOUZA JÚNIORRobsonNuovo,4,,,,,,
A,Parma,DIALLO THIAOOusmaneNuovo,4,,,,,,
C,Bologna,EL AZZOUZIOussama2025/2026,4,,,,,,
C,Monza,FORSONOmariNuovo,4,,,,,,
D,Venezia,FRANJIćBartolNuovo,4,,,,,,
D,Monza,GOGLICHIDZESaba2025/2026,4,,,,,"5,75",6
C,Cagliari,IDRISSIRiyad2025/2026,4,,11.75,,5.30,"5,82",17
C,Lecce,ILICIvan2025/2026,4,,1.62,,19.08,"6,00",8
D,Napoli,MARIANUCCILuca2025/2026,4,4.42,3.81,2.93,4.18,"5,72",11
D,Napoli,MARINRafa,4,2.59,2.94,2.58,,,
C,Cagliari,MASSOLINYanisNuovo,4,,,,,,
A,Juventus,MILIKArek,4,,5.09,,1.76,"6,00",2
D,Parma,NDIAYEAbdoulaye2025/2026,4,,1.08,,,"5,59",11
D,Frosinone,OYONOAnthony,4,,,2.62,3.18,,
D,Udinese,PALMAMatteo,4,3.89,3.82,4.82,4.89,"5,50",4
D,Lazio,PATRIC-2025/2026,4,,4.52,,6.36,"5,85",10
P,Serie Minori,PERINMattia,4,1.12,,,4.12,"6,11",9
D,Genoa,PUCZKADavidNuovo,4,,,,,,
C,Genoa,SABELLIStefano2025/2026,4,,,,,"5,80",13
C,Venezia,SAGRADORichieNuovo,4,,,,,,
D,Venezia,SVERKOMarinNuovo,4,,,,,,
D,Estero,VALENTININicolas2025/2026,4,,1.17,,0.53,"5,78",19
D,Sassuolo,VAN DER BREMPTIgnace,4,,2.32,,3.40,"5,96",14
C,Udinese,ZARRAGAOier2025/2026,4,,,,,"5,75",10
D,Frosinone,AKPOGUMAKevinNuovo,3,,,,,,
D,Serie Minori,ALTAREGiorgioNuovo,3,,,,,,
C,Monza,BAKOUNEAdamNuovo,3,,,,,,
A,Udinese,BAYOVakoun,3,,1.90,,1.70,"5,75",12
A,Estero,BENEDYCZAKAdrian2025/2026,3,,,,,"5,95",10
C,Serie Minori,BOHINENEmil2025/2026,3,,,,,,
D,Estero,BRORSSONArvidNuovo,3,,,,,,
C,Cagliari,CIERVORiccardo2025/2026,3,,,,,,
C,Parma,CREMASCHIBenjamín2025/2026,3,,,,1.06,"6,00",1
D,Estero,CUENCA CEJUDOAndrésNuovo,3,,,,,,
P,Frosinone,DESPLANCHESSebastianoNuovo,3,,,,,,
D,Milan,DIAWARASankhounNuovo,3,,,,,,
C,Monza,FOE ONDOAMangaNuovo,3,,,,,,
D,Serie Minori,GELLIJacopoNuovo,3,,,,,,
C,Sassuolo,GHIONAndrea2025/2026,3,,,,,,
D,Lazio,GIGOTSamuel2025/2026,3,,,,6.52,,
D,Como,GOLDANIGAEdoardo2025/2026,3,,,,1.06,,
D,Lecce,JEANGaby2025/2026,3,,,,,"5,80",5
C,Frosinone,KONEBen Lhassine2025/2026,3,,,,,,
D,Monza,KOUADIOEddy,3,,,1.48,2.47,"6,00",2
C,Roma,LULLIEmanuele,3,1.50,4.01,2.98,5.65,,
C,Venezia,MAZZOCCHIPasquale2025/2026,3,,,,,"5,94",9
A,Serie Minori,MOROLuca2025/2026,3,,,,,"5,58",6
A,Serie Minori,MULATTIERISamuele2025/2026,3,,,,,,
D,Genoa,OTOASebastian2025/2026,3,,1.26,,0.53,"5,60",10
P,Inter,PROVEDELIvan,3,3.89,4.28,2.02,4.71,"6,25",27
D,Udinese,ABANKWAHJames,2,3.32,3.12,1.14,1.44,,
A,Estero,ALBARRACINAgustin2025/2026,2,,,,,"6,00",2
D,Estero,AMORANPeter2025/2026,2,,,,,,
D,Monza,ANTOVValentinNuovo,2,,,,,,
A,Estero,AZONIvan2025/2026,2,,,,,,
C,Atalanta,BAKKERMitchel2025/2026,2,,,,,,
D,Estero,BONFANTIGiovanni2025/2026,2,,,,,"5,61",9
C,Serie Minori,BRAUNODERMatthias2025/2026,2,,,,,,
A,Serie Minori,BURNETERares2025/2026,2,,,,,,
D,Parma,CARBONIFranco Ezequiel2025/2026,2,,,,,"6,00",2
A,Estero,CASASAntonioNuovo,2,,,,,,
D,Sassuolo,CINQUEGRANOSimone,2,,1.14,,2.12,,
P,Parma,CORVIEdoardo,2,1.06,3.38,1.08,6.14,"6,17",17
A,Serie Minori,D'ANDREALucaNuovo,2,,,,,,
D,Bologna,DE SILVESTRILorenzo2025/2026,2,,,,,"6,05",10
C,Lecce,DEMBELEAli2025/2026,2,,,,,"5,00",1
D,Parma,DROBNICDominik2025/2026,2,,,,,,
C,Lecce,FOFANASadik2025/2026,2,,,,3.18,"5,50",2
C,Serie Minori,GALAZZINicolasNuovo,2,,,,,,
A,Serie Minori,GROSSOFilippoNuovo,2,,,,,,
C,Serie Minori,IANNONIEdoardo2025/2026,2,,,,,"6,00",5
D,Serie Minori,ILICMihajlo2025/2026,2,,,,3.18,,
A,Estero,JOVICMilošNuovo,2,,,,,,
C,Lecce,KABAMohamed2025/2026,2,,,,,"5,77",11
D,Estero,KOUASSIOwen2025/2026,2,,,,,"5,50",4
A,Venezia,LISMANKornelNuovo,2,,,,,,
C,Torino,LUONGOAndreaNuovo,2,,,,,,
D,Monza,MAYEYvan2025/2026,2,,,,,,
D,Serie Minori,MISSORIFilippo2025/2026,2,,,,,,
D,Estero,MLACICBranimir2025/2026,2,,,,1.06,"5,83",3
P,Venezia,MONTIPO'Lorenzo,2,,,0.31,,"6,20",35
C,Monza,MOUTMathis,2,,1.56,,,,
P,Udinese,MROZEKBartosz,2,,1.15,0.05,,,
D,Lecce,NDABACorrie2025/2026,2,,,,,"5,50",9
A,Serie Minori,OKOROAlvin ObinnaNuovo,2,,,,,,
D,Sassuolo,PIERAGNOLOEdoardo2025/2026,2,,,,,,
A,Sassuolo,PIERININicholas2025/2026,2,,,,,"6,00",4
C,Serie Minori,ROUHIJonas2025/2026,2,,,,,,
D,Juventus,RUGANIDaniele2025/2026,2,1.15,1.84,3.22,3.44,"5,68",8
C,Estero,RUI MODESTOMuati2025/2026,2,,,,,"5,75",2
A,Sassuolo,SKJELLERUPLaurs2025/2026,2,,,,,,
P,Milan,TERRACCIANOPietro,2,1.07,1.12,0.61,1.53,"6,00",2
D,Serie Minori,VEROLIDavide2025/2026,2,,,,,,
D,Serie Minori,VOGLIACCOAlessandro2025/2026,2,,,,,,
D,Estero,WIETESKAMateusz2025/2026,2,,,,,,
D,Lecce,ADDOVernon2025/2026,1,,,,,,
C,Cagliari,AKARAKIRIDemiNuovo,1,,,,,,
A,Serie Minori,AMBROSINOGiuseppe2025/2026,1,,,,,"5,75",2
D,Frosinone,AMEYWisdomNuovo,1,,,,,,
P,Estero,AUDEROEmil2025/2026,1,15.83,16.43,13.09,23.29,"6,20",34
C,Serie Minori,BJARKASONBjarkiNuovo,1,,,,,,
P,Lecce,BLEVEMarco,1,,,0.19,,,
P,Lecce,BORBEIAlexandru2025/2026,1,,,,,,
A,Estero,BRASCHIRiccardo2025/2026,1,,,,,,
C,Estero,CAMARAAbdoulaye2025/2026,1,,,,,,
C,Serie Minori,CAVUOTINicolo2025/2026,1,,,,,,
A,Serie Minori,CHERUBINILuigi2025/2026,1,,,,,,
P,Fiorentina,CHRISTENSENOliver,1,0.76,1.22,0.42,0.81,"7,50",1
P,Serie Minori,CIOCCIGiuseppe2025/2026,1,,,,,,
A,Serie Minori,COLLEYMuhammedNuovo,1,,,,,,
P,Napoli,CONTININikita,1,,1.13,0.47,0.84,,
C,Serie Minori,CORRADONiccoloNuovo,1,,,,,,
C,Venezia,DAGASSOMatteoNuovo,1,,,,,,
A,Parma,DE MARTIS DE LA ROSAThomásNuovo,1,,,,,,
P,Roma,DE MARZI GIORGIOGiorgio,1,3.88,3.47,0.35,0.74,,
P,Inter,DI GENNARORaffaele,1,2.27,2.28,0.55,0.89,"6,00",1
C,Frosinone,EL AZZOUZIAnouarNuovo,1,,,,,,
C,Lazio,FARCOMENIValerio2025/2026,1,,,,,,
D,Frosinone,FAYEDOmarNuovo,1,,,,,,
P,Estero,FRUCHTLChristian2025/2026,1,,,,,,
P,Lazio,FURLANETTOAlessio2025/2026,1,4.26,3.79,1.06,1.29,"6,50",2
A,Serie Minori,GABRIELLONIAlessandro2025/2026,1,,,,,,
C,Lazio,GALASSIBrunoNuovo,1,,,,,,
P,Parma,GHIDOTTISimone,1,,,0.04,,,
P,Roma,GOLLINIPierluigi,1,0.99,1.04,0.58,0.91,,
D,Venezia,GOMESAlejandro FurtadoNuovo,1,,,,,,
P,Juventus,GRABARAKamil,1,0.92,1.02,0.55,1.35,,
P,Venezia,GRANDIMatteo,1,,,0.31,,,
P,Bologna,HAPPONENUkko,1,,,0.19,1.06,,
P,Torino,ISRAELFranco2025/2026,1,1.74,13.90,4.99,8.52,"5,88",9
C,Parma,KONATEAbdou-Salam2025/2026,1,,,,,,
D,Serie Minori,KOSPOEman2025/2026,1,,,,,,
C,Serie Minori,KOUDARachid2025/2026,1,,,,,,
C,Lecce,KOVACNiko2025/2026,1,,,,,,
A,Lecce,LAERKEHjalteNuovo,1,,,,,,
C,Como,LAHDOAdrian2025/2026,1,,,,,,
A,Venezia,LAUBERBACHLionNuovo,1,,,,,,
C,Serie Minori,LELLANunzioNuovo,1,,,,,,
P,Fiorentina,LEZZERINILuca,1,,,0.19,2.07,,
D,Venezia,LIGUECalixte PaulNuovo,1,,,,,,
C,Cagliari,LITETAJoseph2025/2026,1,,,,,"5,75",4
P,Frosinone,LOLICEldinNuovo,1,,,,,,
P,Serie Minori,LYSIONOKErnestas2025/2026,1,,,,,,
D,Serie Minori,MACCHIONITommaso2025/2026,1,,,,,,
C,Serie Minori,MARIANIEdoardoNuovo,1,,,,,,
P,Torino,MASCARDIDiego,1,0.89,0.99,0.34,3.13,,
D,Estero,MATTURROAlanNuovo,1,,,,,,
D,Estero,ODOGUDavid2025/2026,1,,1.39,,,,
D,Serie Minori,OYONOJeremyNuovo,1,,,,,,
P,Udinese,PADELLIDaniele,1,,1.16,0.19,0.64,"6,25",2
D,Sassuolo,PAZYeferson2025/2026,1,,,,,,
P,Lecce,PENEVPlamen,1,,,0.19,,,
D,Estero,PEREZMatías2025/2026,1,,,,,"5,00",1
P,Bologna,PESSINAMassimo,1,,1.14,0.19,2.17,"6,12",4
P,Udinese,PIANAEdoardo,1,,,0.30,,,
P,Juventus,PINSOGLIOCarlo,1,3.09,2.90,0.49,0.85,,
P,Frosinone,PISSERIMatteoNuovo,1,,,,,,
P,Serie Minori,PIZZIGNACCOSemuelNuovo,1,,,,,,
P,Atalanta,POMPEIThomasNuovo,1,,,,,,
P,Venezia,POZZIAlessio,1,,,0.31,,,
C,Lazio,PRZYBOREKAdrian2025/2026,1,,,,3.71,,
P,Cagliari,RADUNOVICBoris,1,,,0.18,,,
D,Estero,RATERINKOthniël2025/2026,1,,,,,,
P,Estero,RAVAGLIAFederico2025/2026,1,3.11,2.96,2.35,2.58,"6,20",17
P,Lazio,RENZETTIDavide,1,,,0.41,,,
P,Atalanta,ROSSIFrancesco,1,,1.20,0.52,0.86,,
P,Sassuolo,RUSSOAlessandro,1,,,0.04,,,
P,Estero,SAMOOJAJasper2025/2026,1,,,,,,
P,Sassuolo,SATALINOGiacomo,1,,,0.18,,,
P,Cagliari,SHERRIAlen,1,,,0.19,,,
D,Estero,SIDIBEFranck AhmedNuovo,1,,,,,,
P,Torino,SIVIEROLapo,1,,,0.19,,,
P,Genoa,SOMMARIVADaniele,1,,,0.19,,"5,75",2
P,Atalanta,SPORTIELLOMarco,1,1.70,1.91,0.68,1.08,"5,50",1
P,Genoa,STOLZFranz,1,,,0.19,,,
P,Monza,STRAJNARAljažNuovo,1,,,,,,
P,Monza,TORNQVISTNoel,1,,1.12,1.29,1.42,,
P,Milan,TORRIANILorenzo,1,2.15,2.18,0.63,1.01,,
A,Cagliari,TREPYYael2025/2026,1,,1.08,,0.53,"6,12",4
P,Sassuolo,TURATIStefano,1,,,0.18,,"6,16",6
P,Roma,VASQUEZDevis2025/2026,1,1.23,1.51,1.27,1.37,,
P,Como,VIGORITOMauro,1,,1.24,0.54,0.89,,
A,Udinese,VINCIATIGiulio2025/2026,1,,,,,,
P,Serie Minori,VISMARAPaolo,1,,,0.25,,,
C,Genoa,WIAFESamuelNuovo,1,,,,,,
P,Serie Minori,ZACCHIGioele2025/2026,1,,,,,,
P,Serie Minori,ZELEZNYRadoslaw2025/2026,1,,1.07,0.97,1.20,,
D,Monza,ZIOLKOWSKIJan,1,,,,1.51,"5,94",9
C,Como,ANDREALLIFrancesco2025/2026,0,,,,,,
P,Serie Minori,ASTALDIGianluca2025/2026,0,,,,,,
C,Sassuolo,BAFFOH NANAJeffreyNuovo,0,,,,,,
C,Bologna,BARBAROEliaNuovo,0,,,,,,
D,Genoa,BARBINIMatteoNuovo,0,,,,,,
C,Fiorentina,BONANNOPiergiorgio2025/2026,0,,,,,,
D,Bologna,BOZHIDAROV PAPAZOVDimitarNuovo,0,,,,,,
C,Sassuolo,BRUNOKevinNuovo,0,,,,,,
C,Como,CASSANORiccardoNuovo,0,,,,,,
C,Parma,CIARDIAlessandro2025/2026,0,,,,,,
D,Parma,D'INTINORoberto2025/2026,0,,,,,,
C,Venezia,DABOLamineNuovo,0,,,,,,
C,Roma,DELLA ROCCAMattia2025/2026,0,,,,,,
D,Torino,DESOLEFabio2025/2026,0,,,,,,
D,Sassuolo,DI BITONTOAlessandroNuovo,0,,,,,,
C,Lazio,DI TOMMASOLeonardoNuovo,0,,,,,,
D,Genoa,DOUCOURéMamedi2025/2026,0,,,,,,
D,Lecce,ESPOSITOSebastian2025/2026,0,,,,,,
C,Venezia,FARJIMarkoNuovo,0,,,,,,
A,Bologna,FERRARIFlavioNuovo,0,,,,,,
D,Serie Minori,FONTANAROSAAlessandroNuovo,0,,,,,,
A,Torino,GABELLINITommaso2025/2026,0,,,,,,
C,Lecce,GONZALEZJoanNuovo,0,,,,,,
C,Cagliari,GRANDUNicola2025/2026,0,,,,,,
P,Cagliari,ILIEVVelizar-Iliya2025/2026,0,,,,,,
A,Estero,JOUJOUAntoine2025/2026,0,,,,,,
A,Parma,KOWALSKIMateusz2025/2026,0,,,,,,
C,Serie Minori,LEONEKevinNuovo,0,,,,,,
P,Frosinone,MINICANGELIFrancescoNuovo,0,,,,,,
A,Sassuolo,MINTAAmoakoNuovo,0,,,,,,
C,Lazio,MUNOZCristo2025/2026,0,,,,,,
P,Sassuolo,NYARKOLorenzo2025/2026,0,,,,,,
A,Udinese,PEJICICDavid2025/2026,0,,,,,,
A,Genoa,PESSOLANIGabrieleNuovo,0,,,,,,
A,Como,PISATISamuele2025/2026,0,,,,,,
C,Serie Minori,PLICCOElia2025/2026,0,,,,,,
C,Genoa,ROMANOMarcoNuovo,0,,,,,,
C,Genoa,SCAGLIONERobertoNuovo,0,,,,,,
D,Serie Minori,SECKMohamed2025/2026,0,,,,,,
C,Genoa,SPICUGLIAEliaNuovo,0,,,,,,
P,Napoli,SPINELLIDavid2025/2026,0,,,,,,
A,Fiorentina,TARANTINOJacopoNuovo,0,,,,,,
D,Serie Minori,TRABUCCHINicolas2025/2026,0,,,,,,
D,Lecce,UBANIMarlonNuovo,0,,,,,,
D,Genoa,VAZMarceloNuovo,0,,,,,,
D,Venezia,VENTURIMichaelNuovo,0,,,,,,
D,Sassuolo,VEZZOSIGiorgioNuovo,0,,,,,,
C,Lecce,YILMAZEnesNuovo,0,,,,,,
