Ruolo,Squadra,Nome,Kap.,8 sq. / 350,10 sq. / 350,8 sq. / 500,10 sq. / 500,M.V.,Pres.
D,Napoli,DI LORENZOGiovanni,19,18.98,20.26,20.77,23.99,"6,07",26
C,Udinese,EKKELENKAMPJurgen,19,18.59,21.49,23.32,23.37,"6,04",31
D,Juventus,KALULUPierre,19,21.33,24.99,20.89,25.20,"6,13",37
A,Estero,LUKAKURomelu2025/2026,19,31.48,41.08,30.17,44.67,"7,00",1
C,Roma,PELLEGRINILorenzo,19,20.19,22.00,23.77,22.21,"6,04",24
A,Napoli,POLITANOMatteo,19,19.64,24.44,18.79,24.31,"6,09",33
A,Torino,ADAMSChe,18,18.88,23.25,18.30,24.36,"5,98",32
C,Napoli,ANGUISSAAndré Zambo,18,19.00,19.86,17.89,20.79,"6,16",18
C,Milan,DA SILVA MOREIRADiego Manuel Jadon,18,18.06,21.63,20.78,31.26,,
C,Inter,JONESCurtis,18,20.26,22.80,19.01,28.51,,
D,Roma,NDICKAEvan,18,17.66,21.67,18.17,23.19,"6,08",31
C,Milan,SAELEMAEKERSAlexis,18,19.40,19.64,18.44,22.82,"6,14",35
D,Udinese,SOLETOumar,18,16.41,20.82,22.83,21.28,"6,17",34
C,Genoa,BALDANZITommaso,17,19.56,24.30,15.54,20.62,"6,14",17
A,Estero,DAVIDJonathan,17,19.03,,,,"5,76",30
C,Atalanta,KESSIEFranck,17,25.48,31.80,31.89,35.83,,
C,Como,PERRONEMaximo,17,18.38,22.83,15.76,20.33,"6,22",36
A,Frosinone,RAIMONDOAntonio,17,21.52,25.61,18.00,22.87,,
C,Inter,SPENCEDjed,17,17.64,22.13,19.02,24.47,,
D,Inter,STONESJohn,17,17.22,18.43,15.76,19.82,,
C,Inter,SUCICPetar,17,18.89,18.94,17.71,19.11,"6,07",28
C,Sassuolo,THORSTVEDTKristian,17,17.51,18.87,16.57,20.24,"6,14",31
C,Juventus,THURAMKhéphren,17,18.44,19.95,16.88,20.81,"6,10",34
A,Sassuolo,BOWIEKieron,16,16.39,17.88,14.67,18.10,"5,96",14
C,Torino,CASADEICesare,16,17.96,22.27,15.61,21.13,"5,96",32
C,Lazio,FRATTESIDavide,16,26.71,31.73,43.61,44.70,"5,89",14
D,Milan,GILAMario,16,16.93,21.11,19.70,23.64,"6,03",31
C,Milan,HUTCHINSONOmari Giraud,16,17.13,21.04,15.92,19.96,,
C,Atalanta,PASALICMario,16,16.83,17.84,15.50,19.78,"5,93",31
A,Bologna,PICCOLIRoberto,16,17.20,18.14,15.75,24.20,"5,77",27
D,Atalanta,SCALVINIGiorgio,16,16.90,17.46,15.62,19.54,"6,06",24
A,Genoa,VITINHA-,16,20.78,24.96,16.33,19.66,"5,95",31
A,Venezia,YEBOAHJohn,16,17.16,17.51,16.01,20.12,,
A,Estero,BANDALameck2025/2026,15,,22.68,18.29,26.17,"6,07",32
A,Bologna,BERNARDESCHIFederico,15,16.28,17.18,16.79,20.25,"6,04",24
A,Inter,BONNYAnge-Yoan,15,16.44,18.09,16.06,22.77,"6,14",27
C,Juventus,CAMBIASOAndrea,15,16.62,20.15,15.69,19.21,"5,80",36
C,Monza,COLPANIAndrea,15,16.17,17.19,15.55,18.62,,
C,Roma,CRISTANTEBryan,15,17.10,17.61,14.77,19.05,"6,10",37
A,Monza,CUTRONEPatrick,15,15.36,16.31,17.68,20.43,"5,71",14
C,Atalanta,ELMASEljif,15,14.77,16.42,15.13,18.97,"5,80",28
C,Fiorentina,FAGIOLINicolo,15,17.02,17.14,15.33,17.33,"6,03",33
A,Lazio,ISAKSENGustav,15,17.01,17.31,15.15,18.66,"6,03",27
C,Napoli,LOBOTKAStanislav,15,17.47,21.31,15.68,19.66,"6,04",31
C,Juventus,LOCATELLIManuel,15,16.30,16.91,14.84,18.25,"6,26",36
C,Torino,MANDRAGORARolando,15,16.59,16.63,15.46,19.29,"6,04",34
P,Napoli,MERETAlex,15,18.14,28.37,26.55,34.73,"6,22",11
A,Bologna,ODGAARDJens,15,15.83,17.11,15.26,18.54,"5,90",22
D,Genoa,OSTIGARDLeo,15,16.76,17.68,17.37,21.41,"6,13",30
D,Como,RAMONJacobo,15,15.59,18.52,18.96,22.18,"6,15",32
A,Lecce,STULICNikola,15,17.64,21.67,15.41,19.28,"5,73",30
C,Napoli,VERGARAAntonio,15,16.17,20.07,15.32,18.83,"6,25",8
C,Sassuolo,VOLPATOCristian,15,15.83,16.51,15.89,19.15,"6,14",21
A,Torino,ZAPATADuvan,15,16.56,17.41,15.48,19.75,"5,82",23
A,Venezia,ADAMSAkor Jerome,14,16.24,17.40,14.51,18.06,,
C,Parma,BERNABEAdrian,14,16.88,20.56,15.43,18.63,"6,17",32
A,Bologna,CAMBIAGHINicolo,14,15.45,16.58,14.80,18.31,"5,97",24
A,Lazio,CANCELLIERIMatteo,14,14.68,16.07,13.91,17.08,"5,92",28
D,Como,CHALOBAHTrevoh,14,17.03,21.11,18.16,21.26,,
A,Estero,DIABoulaye,14,15.01,17.50,14.66,18.77,"5,68",25
C,Bologna,FERGUSONLewis,14,15.29,16.10,14.23,17.28,"5,80",23
C,Atalanta,GAETANOGianluca,14,16.78,20.75,13.94,17.50,"6,06",32
D,Roma,HERMOSOMario,14,17.28,20.86,14.98,18.04,"6,16",27
A,Cagliari,KEVIN CARLOSOmoruyi Benjamin,14,15.97,16.12,14.65,18.09,,
A,Fiorentina,PELLEGRINOMateo,14,17.65,21.34,24.47,29.19,"5,98",37
A,Estero,RATKOVPetar,14,,,,16.13,"5,66",6
A,Napoli,SANTOSAlisson,14,17.87,31.30,16.55,25.81,"6,34",13
