alias_id,team_id,alias_raw,alias_normalized,source_name,canonical_name
6caf52fb-628b-54dd-926f-f054a152f3e1,de2b8afd-0048-545c-b7bf-b27eb2998809,Milan,MILAN,fantacalcio-online-excel,Milan
101bb61f-68b9-526d-b0fb-fda662eddc2c,f1d047fc-8dc4-5034-8348-ad2ce23ae075,Monza,MONZA,fantacalcio-online-excel,Monza
52928816-f6aa-50e2-9e39-958d28a7fff9,62deac80-04a4-5a6a-a1c5-3bae896c0c5d,Napoli,NAPOLI,fantacalcio-online-excel,Napoli
6489fa3e-e404-5ba8-a828-e0c2e46bd5e2,546c46a4-a3cb-5443-afce-b3c4ffd02a72,Parma,PARMA,fantacalcio-online-excel,Parma
3dc7d95b-64fa-5e47-8667-5ed0f53e3a38,0814a12e-c3ad-50f6-865e-7070a5242681,Roma,ROMA,fantacalcio-online-excel,Roma
5e9a57b1-6f5f-5857-bda5-e4c5914272d9,8691d209-d404-5965-b49a-3199d6f06bd8,Sassuolo,SASSUOLO,fantacalcio-online-excel,Sassuolo
984bbb9c-249a-5f9e-8842-73566bcbd168,fd045612-0e5a-5ef9-9ffc-360113d4ec9b,Torino,TORINO,fantacalcio-online-excel,Torino
c0e7dee8-8141-59a2-bcfd-4dfb0eb11045,9f0ff749-2ab2-5949-8516-c04ce23188f4,Udinese,UDINESE,fantacalcio-online-excel,Udinese
303dcb97-7424-559c-8e67-b08cb75ca2c0,8f7aaa64-9717-5e68-a8eb-08eefc308d04,Venezia,VENEZIA,fantacalcio-online-excel,Venezia
ec29ce0c-1166-594e-b3ce-46e799eb97ce,f735161e-69bc-5c69-b217-5b2f10e3e504,Atalanta,ATALANTA,fantacalcio-it-statistiche,Atalanta
767985a3-5520-57b0-92e1-f30f6c50580f,740bb690-b53e-5df2-9f3c-58589f8bcbe2,Bologna,BOLOGNA,fantacalcio-it-statistiche,Bologna
578df93d-958e-553d-acf4-8990f6cd2efb,b9b43615-5ac4-534c-b25e-f7740e1ec2b7,Cagliari,CAGLIARI,fantacalcio-it-statistiche,Cagliari
e6be0e55-8715-54b2-8bab-b1aa27d15afe,8fca0816-3433-5dd8-861a-1896349018dc,Como,COMO,fantacalcio-it-statistiche,Como
cd5c3a71-58b2-5126-93a3-c66f31006607,347e4f27-7775-5e5a-ba32-1f8fe5ca0055,Fiorentina,FIORENTINA,fantacalcio-it-statistiche,Fiorentina
8acc4cf6-e9c6-5ce8-8efd-8ede449ed32f,191dfcb8-5792-5b4e-8a83-87400b40da98,Frosinone,FROSINONE,fantacalcio-it-statistiche,Frosinone
8c71ebc8-459a-5105-bf5c-2259cc19bc9c,d0656bdb-b09d-5448-bb0d-7968ca0c80ab,Genoa,GENOA,fantacalcio-it-statistiche,Genoa
a8b7fe3a-b655-5478-ac48-5828d58bd23f,fe0e462e-aa67-5c25-8430-b057edb567b2,Inter,INTER,fantacalcio-it-statistiche,Inter
